2023-12-23 01:15:56,027 INFO    MainThread:93437 [wandb_setup.py:_flush():76] Current SDK version is 0.16.1
2023-12-23 01:15:56,028 INFO    MainThread:93437 [wandb_setup.py:_flush():76] Configure stats pid to 93437
2023-12-23 01:15:56,028 INFO    MainThread:93437 [wandb_setup.py:_flush():76] Loading settings from /root/.config/wandb/settings
2023-12-23 01:15:56,028 INFO    MainThread:93437 [wandb_setup.py:_flush():76] Loading settings from /root/Projects/Kaggle/linking-writing/wandb/settings
2023-12-23 01:15:56,028 INFO    MainThread:93437 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-12-23 01:15:56,028 INFO    MainThread:93437 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': True}
2023-12-23 01:15:56,028 INFO    MainThread:93437 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'SPF_nnMLP.py', 'program_abspath': '/root/Projects/Kaggle/linking-writing/SPF_nnMLP.py', 'program': '/root/Projects/Kaggle/linking-writing/SPF_nnMLP.py'}
2023-12-23 01:15:56,028 INFO    MainThread:93437 [wandb_setup.py:_flush():76] calling init triggers
2023-12-23 01:15:56,028 INFO    MainThread:93437 [wandb_setup.py:_flush():76] wandb.init called with sweep_config: {}
config: {}
2023-12-23 01:15:56,028 INFO    MainThread:93437 [wandb_init.py:_log_setup():524] Logging user logs to /root/Projects/Kaggle/linking-writing/wandb/run-20231223_011556-q5j23yt5/logs/debug.log
2023-12-23 01:15:56,028 INFO    MainThread:93437 [wandb_init.py:_log_setup():525] Logging internal logs to /root/Projects/Kaggle/linking-writing/wandb/run-20231223_011556-q5j23yt5/logs/debug-internal.log
2023-12-23 01:15:56,028 INFO    MainThread:93437 [wandb_init.py:init():564] calling init triggers
2023-12-23 01:15:56,028 INFO    MainThread:93437 [wandb_init.py:init():571] wandb.init called with sweep_config: {}
config: {}
2023-12-23 01:15:56,028 INFO    MainThread:93437 [wandb_init.py:init():614] starting backend
2023-12-23 01:15:56,028 INFO    MainThread:93437 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-12-23 01:15:56,034 INFO    MainThread:93437 [backend.py:ensure_launched():206] starting backend process...
2023-12-23 01:15:56,034 INFO    MainThread:93437 [backend.py:ensure_launched():211] started backend process with pid: 94780
2023-12-23 01:15:56,035 INFO    MainThread:93437 [wandb_init.py:init():624] backend started and connected
2023-12-23 01:15:56,037 INFO    MainThread:93437 [wandb_init.py:init():716] updated telemetry
2023-12-23 01:15:56,040 INFO    MainThread:93437 [wandb_init.py:init():749] communicating run to backend with 90.0 second timeout
2023-12-23 01:15:57,136 INFO    MainThread:93437 [wandb_run.py:_on_init():2254] communicating current version
2023-12-23 01:15:57,237 INFO    MainThread:93437 [wandb_run.py:_on_init():2263] got version response 
2023-12-23 01:15:57,237 INFO    MainThread:93437 [wandb_init.py:init():800] starting run threads in backend
2023-12-23 01:15:59,908 INFO    MainThread:93437 [wandb_run.py:_console_start():2233] atexit reg
2023-12-23 01:15:59,908 INFO    MainThread:93437 [wandb_run.py:_redirect():2088] redirect: wrap_raw
2023-12-23 01:15:59,910 INFO    MainThread:93437 [wandb_run.py:_redirect():2153] Wrapping output streams.
2023-12-23 01:15:59,910 INFO    MainThread:93437 [wandb_run.py:_redirect():2178] Redirects installed.
2023-12-23 01:15:59,911 INFO    MainThread:93437 [wandb_init.py:init():841] run started, returning control to user process
2023-12-23 01:15:59,912 INFO    MainThread:93437 [wandb_run.py:_config_callback():1342] config_cb None None {'epochs': 100, 'dropout_rate': 0.15000000000000002, 'layer_size': 24}
2023-12-23 01:16:09,188 INFO    MainThread:93437 [wandb_run.py:_finish():1962] finishing run allende-rev/linking-quality-writing/q5j23yt5
2023-12-23 01:16:09,188 INFO    MainThread:93437 [wandb_run.py:_atexit_cleanup():2202] got exitcode: 0
2023-12-23 01:16:09,189 INFO    MainThread:93437 [wandb_run.py:_restore():2185] restore
2023-12-23 01:16:09,189 INFO    MainThread:93437 [wandb_run.py:_restore():2191] restore done
2023-12-23 01:16:14,807 INFO    MainThread:93437 [wandb_run.py:_footer_history_summary_info():3837] rendering history
2023-12-23 01:16:14,808 INFO    MainThread:93437 [wandb_run.py:_footer_history_summary_info():3869] rendering summary
2023-12-23 01:16:14,811 INFO    MainThread:93437 [wandb_run.py:_footer_sync_info():3796] logging synced files
