2023-12-23 01:38:30,743 INFO    MainThread:93437 [wandb_setup.py:_flush():76] Current SDK version is 0.16.1
2023-12-23 01:38:30,744 INFO    MainThread:93437 [wandb_setup.py:_flush():76] Configure stats pid to 93437
2023-12-23 01:38:30,744 INFO    MainThread:93437 [wandb_setup.py:_flush():76] Loading settings from /root/.config/wandb/settings
2023-12-23 01:38:30,744 INFO    MainThread:93437 [wandb_setup.py:_flush():76] Loading settings from /root/Projects/Kaggle/linking-writing/wandb/settings
2023-12-23 01:38:30,744 INFO    MainThread:93437 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-12-23 01:38:30,744 INFO    MainThread:93437 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': True}
2023-12-23 01:38:30,744 INFO    MainThread:93437 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'SPF_nnMLP.py', 'program_abspath': '/root/Projects/Kaggle/linking-writing/SPF_nnMLP.py', 'program': '/root/Projects/Kaggle/linking-writing/SPF_nnMLP.py'}
2023-12-23 01:38:30,744 INFO    MainThread:93437 [wandb_setup.py:_flush():76] calling init triggers
2023-12-23 01:38:30,744 INFO    MainThread:93437 [wandb_setup.py:_flush():76] wandb.init called with sweep_config: {}
config: {}
2023-12-23 01:38:30,744 INFO    MainThread:93437 [wandb_init.py:_log_setup():524] Logging user logs to /root/Projects/Kaggle/linking-writing/wandb/run-20231223_013830-z9rnlvao/logs/debug.log
2023-12-23 01:38:30,744 INFO    MainThread:93437 [wandb_init.py:_log_setup():525] Logging internal logs to /root/Projects/Kaggle/linking-writing/wandb/run-20231223_013830-z9rnlvao/logs/debug-internal.log
2023-12-23 01:38:30,744 INFO    MainThread:93437 [wandb_init.py:init():564] calling init triggers
2023-12-23 01:38:30,744 INFO    MainThread:93437 [wandb_init.py:init():571] wandb.init called with sweep_config: {}
config: {}
2023-12-23 01:38:30,744 INFO    MainThread:93437 [wandb_init.py:init():614] starting backend
2023-12-23 01:38:30,744 INFO    MainThread:93437 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-12-23 01:38:30,748 INFO    MainThread:93437 [backend.py:ensure_launched():206] starting backend process...
2023-12-23 01:38:30,749 INFO    MainThread:93437 [backend.py:ensure_launched():211] started backend process with pid: 102344
2023-12-23 01:38:30,750 INFO    MainThread:93437 [wandb_init.py:init():624] backend started and connected
2023-12-23 01:38:30,752 INFO    MainThread:93437 [wandb_init.py:init():716] updated telemetry
2023-12-23 01:38:30,755 INFO    MainThread:93437 [wandb_init.py:init():749] communicating run to backend with 90.0 second timeout
2023-12-23 01:38:31,785 INFO    MainThread:93437 [wandb_run.py:_on_init():2254] communicating current version
2023-12-23 01:38:31,911 INFO    MainThread:93437 [wandb_run.py:_on_init():2263] got version response 
2023-12-23 01:38:31,911 INFO    MainThread:93437 [wandb_init.py:init():800] starting run threads in backend
2023-12-23 01:38:34,485 INFO    MainThread:93437 [wandb_run.py:_console_start():2233] atexit reg
2023-12-23 01:38:34,485 INFO    MainThread:93437 [wandb_run.py:_redirect():2088] redirect: wrap_raw
2023-12-23 01:38:34,486 INFO    MainThread:93437 [wandb_run.py:_redirect():2153] Wrapping output streams.
2023-12-23 01:38:34,486 INFO    MainThread:93437 [wandb_run.py:_redirect():2178] Redirects installed.
2023-12-23 01:38:34,487 INFO    MainThread:93437 [wandb_init.py:init():841] run started, returning control to user process
2023-12-23 01:38:34,487 INFO    MainThread:93437 [wandb_run.py:_config_callback():1342] config_cb None None {'epochs': 500, 'dropout_rate': 0.20000000000000004, 'layer_size': 32}
2023-12-23 01:39:20,752 INFO    MainThread:93437 [wandb_run.py:_finish():1962] finishing run allende-rev/linking-quality-writing/z9rnlvao
2023-12-23 01:39:20,753 INFO    MainThread:93437 [wandb_run.py:_atexit_cleanup():2202] got exitcode: 0
2023-12-23 01:39:20,753 INFO    MainThread:93437 [wandb_run.py:_restore():2185] restore
2023-12-23 01:39:20,753 INFO    MainThread:93437 [wandb_run.py:_restore():2191] restore done
2023-12-23 01:39:26,948 INFO    MainThread:93437 [wandb_run.py:_footer_history_summary_info():3837] rendering history
2023-12-23 01:39:26,949 INFO    MainThread:93437 [wandb_run.py:_footer_history_summary_info():3869] rendering summary
2023-12-23 01:39:26,952 INFO    MainThread:93437 [wandb_run.py:_footer_sync_info():3796] logging synced files
